Transaction_ID,Date,Region,Category,Units_Sold,Unit_Price,Revenue,Cost,Profit
TRX-10112,2026-01-14,Europe,Laptop,2,1246.86,2493.71,1527.63,966.08
TRX-10113,2026-05-05,Europe,Accessories,10,50.35,503.46,191.22,312.24
TRX-10114,2025-08-19,Latin America,Smartphone,9,824.95,7424.57,4698.84,2725.73
TRX-10115,2025-02-10,Europe,Accessories,12,51.54,618.48,248.4,370.08
TRX-10116,2025-01-28,North America,Smartphone,9,775.19,6976.69,4655.22,2321.47
TRX-10117,2025-05-15,Latin America,Accessories,9,48.05,432.46,187.64,244.82
TRX-10118,2025-07-20,Europe,Tablet,1,408.85,408.85,250.13,158.72
TRX-10119,2025-02-02,Europe,Accessories,7,48.28,337.97,136.46,201.51
TRX-10120,2025-02-17,North America,Accessories,12,51.75,621.0,237.63,383.36
TRX-10121,2026-05-18,North America,Laptop,11,1227.14,13498.57,8992.6,4505.97
TRX-10122,2026-02-11,North America,Tablet,13,413.67,5377.75,3372.21,2005.54
TRX-10123,2026-07-28,North America,Monitor,3,293.97,881.91,596.11,285.81
TRX-10124,2026-12-29,Latin America,Laptop,11,1177.99,12957.91,8831.14,4126.77
TRX-10125,2025-04-09,Latin America,Monitor,9,305.14,2746.23,1877.72,868.51
TRX-10126,2026-11-15,Latin America,Smartphone,8,762.52,6100.13,3843.0,2257.13
TRX-10127,2026-12-27,Asia Pacific,Monitor,3,306.79,920.38,621.74,298.65
TRX-10128,2026-07-01,North America,Accessories,1,51.68,51.68,19.32,32.36
TRX-10129,2026-09-05,North America,Monitor,9,297.45,2677.09,1797.1,880.0
TRX-10130,2026-04-07,Latin America,Laptop,13,1231.79,16013.21,10107.16,5906.05
TRX-10131,2026-10-05,Europe,Laptop,10,1160.95,11609.53,8082.36,3527.17
TRX-10132,2025-01-05,Europe,Monitor,1,294.67,294.67,201.17,93.5
TRX-10133,2025-08-06,North America,Laptop,3,1256.92,3770.75,2371.2,1399.55
TRX-10134,2026-05-18,North America,Laptop,13,1258.36,16358.67,10777.84,5580.84
TRX-10135,2026-02-02,Latin America,Monitor,6,300.38,1802.27,1219.18,583.09
TRX-10136,2026-01-28,North America,Tablet,6,417.37,2504.22,1533.18,971.04
TRX-10137,2025-07-26,Europe,Tablet,14,400.91,5612.73,3377.73,2235.0
TRX-10138,2025-01-15,Europe,Smartphone,11,783.33,8616.6,5710.74,2905.86
TRX-10139,2026-07-08,North America,Laptop,10,1172.03,11720.28,7733.63,3986.65
TRX-10140,2026-04-06,Latin America,Monitor,4,312.89,1251.54,777.82,473.72
TRX-10141,2026-11-22,Latin America,Laptop,2,1160.69,2321.39,1540.49,780.9
TRX-10142,2026-07-29,Europe,Accessories,13,50.4,655.18,258.45,396.73
TRX-10143,2025-08-29,Latin America,Laptop,10,1206.66,12066.63,8310.17,3756.46
TRX-10144,2026-07-18,Europe,Laptop,6,1228.75,7372.53,4681.17,2691.35
TRX-10145,2025-04-06,North America,Tablet,10,399.97,3999.7,2468.44,1531.26
TRX-10146,2026-04-30,Europe,Monitor,5,293.17,1465.84,1034.61,431.24
TRX-10147,2026-02-11,North America,Laptop,13,1160.33,15084.26,10522.53,4561.73
TRX-10148,2025-08-19,Latin America,Tablet,6,404.83,2429.0,1537.74,891.25
TRX-10149,2026-10-17,Asia Pacific,Smartphone,7,817.52,5722.63,3399.9,2322.73
TRX-10150,2025-06-20,Asia Pacific,Tablet,11,402.78,4430.59,2809.53,1621.05
TRX-10151,2026-06-25,Asia Pacific,Tablet,9,409.53,3685.81,2188.71,1497.09
TRX-10152,2025-02-05,Europe,Tablet,12,385.66,4627.93,3146.19,1481.74
TRX-10153,2026-06-09,Asia Pacific,Laptop,12,1245.9,14950.76,9657.49,5293.27
TRX-10154,2025-06-09,Europe,Laptop,14,1209.89,16938.42,11419.12,5519.31
TRX-10155,2026-11-30,Latin America,Smartphone,7,770.15,5391.03,3366.44,2024.59
TRX-10156,2025-08-31,North America,Accessories,4,49.81,199.24,78.01,121.23
TRX-10157,2025-03-27,Asia Pacific,Accessories,10,51.72,517.24,192.79,324.44
TRX-10158,2026-08-01,Europe,Accessories,5,51.99,259.94,98.9,161.04
TRX-10159,2026-11-13,Latin America,Smartphone,13,781.17,10155.24,6359.69,3795.55
TRX-10160,2026-07-11,Latin America,Accessories,6,51.06,306.34,122.8,183.54
TRX-10161,2026-07-28,Asia Pacific,Accessories,13,48.0,624.0,249.83,374.17
TRX-10162,2026-10-08,Latin America,Tablet,9,381.34,3432.08,2306.71,1125.36
TRX-10163,2025-01-28,Latin America,Laptop,5,1207.25,6036.24,3818.28,2217.96
TRX-10164,2026-09-12,Latin America,Laptop,5,1223.38,6116.9,3880.81,2236.09
TRX-10165,2026-07-10,Europe,Tablet,7,411.83,2882.82,1801.09,1081.73
TRX-10166,2025-12-06,Latin America,Tablet,2,393.61,787.22,512.14,275.08
TRX-10167,2025-11-27,Latin America,Tablet,3,380.26,1140.78,748.22,392.56
TRX-10168,2026-10-02,Latin America,Laptop,12,1197.54,14370.51,9167.98,5202.52
TRX-10169,2026-05-21,Latin America,Accessories,2,47.58,95.16,40.44,54.72
TRX-10170,2025-12-14,Latin America,Tablet,10,383.68,3836.79,2476.68,1360.11
TRX-10171,2026-04-18,Europe,Smartphone,10,786.14,7861.35,4908.26,2953.09
TRX-10172,2025-08-19,Latin America,Tablet,12,397.49,4769.84,3042.12,1727.72
TRX-10173,2025-07-09,Latin America,Monitor,14,293.38,4107.38,2782.25,1325.13
TRX-10174,2025-08-13,North America,Tablet,2,403.27,806.55,479.62,326.93
TRX-10175,2026-01-20,Latin America,Laptop,3,1146.64,3439.93,2499.83,940.1
TRX-10176,2026-01-12,,Tablet,6,385.78,2314.7,1541.77,772.93
TRX-10177,2025-10-10,Europe,Monitor,5,305.86,1529.29,955.64,573.65
TRX-10178,2026-09-25,Latin America,Smartphone,11,771.37,8485.08,5513.79,2971.3
TRX-10179,2026-09-20,Europe,Accessories,14,50.7,709.78,268.33,441.45
TRX-10180,2025-09-16,Asia Pacific,Tablet,13,382.19,4968.44,3359.62,1608.82
TRX-10181,2025-12-25,Latin America,Monitor,5,297.22,1486.11,1011.3,474.81
TRX-10182,2026-12-11,North America,Monitor,2,290.32,580.64,386.9,193.75
TRX-10183,2026-04-01,Europe,Smartphone,2,768.77,1537.54,952.07,585.47
TRX-10184,2026-02-15,Asia Pacific,Laptop,12,1208.04,14496.53,9150.32,5346.21
TRX-10185,2026-10-11,North America,Tablet,1,417.13,417.13,250.18,166.95
TRX-10186,2025-11-14,Europe,Monitor,3,286.64,859.93,614.06,245.87
TRX-10187,2026-11-08,Asia Pacific,Smartphone,12,793.72,9524.69,5772.5,3752.19
TRX-10188,2025-08-13,North America,Accessories,12,51.04,612.45,233.31,379.14
TRX-10189,2025-08-22,Latin America,Monitor,11,298.88,3287.69,2162.0,1125.69
TRX-10190,2026-11-15,North America,Smartphone,14,824.52,11543.28,6802.65,4740.62
TRX-10191,2026-10-26,North America,Laptop,7,1161.56,8130.9,5539.15,2591.75
TRX-10192,2026-01-09,North America,Laptop,11,1255.15,13806.66,8852.46,4954.2
TRX-10193,2026-11-03,Europe,Monitor,5,296.55,1482.77,1018.49,464.28
TRX-10194,2026-08-31,Latin America,Monitor,7,295.25,2066.73,1464.93,601.8
TRX-10195,2026-04-17,Latin America,Tablet,9,414.98,3734.86,2346.94,1387.92
TRX-10196,2025-08-21,Europe,Smartphone,6,805.11,4830.66,3021.04,1809.62
TRX-10197,2026-11-23,North America,Monitor,2,300.49,600.99,409.37,191.62
TRX-10198,2025-04-23,Latin America,Tablet,1,409.08,409.08,261.27,147.81
TRX-10199,2026-05-12,North America,Tablet,1,403.19,403.19,239.59,163.61
TRX-10200,2026-03-18,Latin America,Monitor,10,289.88,2898.75,1901.13,997.63
TRX-10201,2026-07-18,Europe,Laptop,9,1220.9,10988.13,6861.46,4126.68
TRX-10202,2025-09-25,Asia Pacific,Smartphone,14,770.68,10789.49,7044.34,3745.14
TRX-10203,2026-05-25,North America,Smartphone,6,824.47,4946.81,3078.85,1867.96
TRX-10204,2026-01-21,Latin America,Laptop,6,1258.77,7552.61,4736.2,2816.41
TRX-10205,2026-01-22,Latin America,Monitor,4,296.32,1185.29,803.62,381.67
TRX-10206,2025-04-23,Latin America,Smartphone,12,795.58,9546.97,6009.82,3537.15
TRX-10207,2026-09-05,Europe,Monitor,14,286.39,4009.5,2686.54,1322.97
TRX-10208,2026-09-17,Europe,Monitor,2,285.41,570.82,392.86,177.96
TRX-10209,2025-03-22,Asia Pacific,Tablet,10,416.86,4168.57,2379.86,1788.71
TRX-10210,2026-11-30,Europe,Laptop,3,1155.43,3466.3,2306.57,1159.74
TRX-10211,2025-04-23,North America,Monitor,3,298.37,895.12,618.71,276.41
TRX-10212,2025-01-02,Europe,Accessories,8,51.58,412.61,165.27,247.34
TRX-10213,2026-10-04,Latin America,Laptop,6,1246.72,7480.31,4944.93,2535.38
TRX-10214,2025-08-08,North America,Smartphone,7,801.55,5610.86,3579.39,2031.48
TRX-10215,2026-07-20,Europe,Tablet,9,402.6,3623.41,2316.0,1307.42
TRX-10216,2025-08-13,North America,Smartphone,1,813.57,813.57,508.55,305.03
TRX-10217,2026-01-20,North America,Smartphone,2,836.91,1673.82,1016.98,656.84
TRX-10218,2026-02-07,Europe,Laptop,9,1212.32,10910.88,7320.5,3590.38
TRX-10219,2026-09-30,North America,Smartphone,5,804.76,4023.79,2503.51,1520.28
TRX-10220,2025-05-10,Latin America,Monitor,4,285.44,1141.74,789.07,352.68
TRX-10221,2025-02-22,Latin America,Smartphone,1,766.48,766.48,511.51,254.97
TRX-10222,2026-11-15,Europe,Tablet,9,403.09,3627.78,2204.7,1423.09
TRX-10223,2026-12-31,Europe,Tablet,11,417.45,4591.95,2761.8,1830.15
TRX-10224,2026-11-03,Latin America,Accessories,13,51.83,673.83,258.27,415.57
TRX-10225,2026-12-11,Europe,Tablet,9,419.3,3773.73,2199.74,1573.99
TRX-10226,2026-02-20,Latin America,Smartphone,4,802.23,3208.91,2094.94,1113.97
TRX-10227,2025-09-04,North America,Tablet,9,411.52,3703.66,2195.72,1507.94
TRX-10228,2026-03-15,Europe,Laptop,10,1240.85,12408.48,7847.43,4561.05
TRX-10229,2025-07-22,Asia Pacific,Tablet,13,405.92,5276.98,3140.02,2136.96
TRX-10230,2025-07-03,Latin America,Monitor,1,295.16,295.16,206.46,88.7
TRX-10231,2025-05-03,Latin America,Laptop,5,1196.4,5981.99,4034.64,1947.35
TRX-10232,2026-02-05,North America,Accessories,1,51.79,51.79,20.23,31.56
TRX-10233,2025-10-21,Asia Pacific,Monitor,4,293.96,1175.83,825.64,350.18
TRX-10234,2025-10-07,Asia Pacific,Smartphone,12,833.9,10006.79,5905.75,4101.04
TRX-10235,2026-09-02,Asia Pacific,Smartphone,5,778.38,3891.92,2423.41,1468.51
TRX-10236,2025-07-17,Latin America,Smartphone,14,819.96,11479.46,6788.88,4690.57
TRX-10237,2026-05-26,Latin America,Monitor,11,303.92,3343.08,2251.18,1091.91
TRX-10238,2025-05-24,Asia Pacific,Monitor,3,307.49,922.46,606.85,315.62
TRX-10239,2026-09-01,Europe,Monitor,2,298.12,596.24,388.25,207.99
TRX-10240,2025-07-20,Asia Pacific,Laptop,6,1251.92,7511.5,4629.63,2881.87
TRX-10241,2025-05-04,North America,Laptop,11,1215.9,13374.86,8466.2,4908.66
TRX-10242,2025-07-06,Asia Pacific,Smartphone,13,783.06,10179.83,6583.07,3596.76
TRX-10243,2025-11-22,Asia Pacific,Tablet,3,405.54,1216.61,712.51,504.11
TRX-10244,2026-04-09,Asia Pacific,Smartphone,10,782.95,7829.45,4759.16,3070.29
TRX-10245,2025-12-15,Europe,Accessories,1,48.97,48.97,19.78,29.19
TRX-10246,2026-10-22,Asia Pacific,Laptop,11,1187.95,13067.47,8968.39,4099.08
TRX-10247,2026-02-07,Asia Pacific,Monitor,13,310.57,4037.45,2650.71,1386.74
TRX-10248,2025-12-12,Latin America,Laptop,5,1200.04,6000.18,3972.05,2028.13
TRX-10249,2026-05-26,Asia Pacific,Monitor,2,305.37,610.73,407.64,203.09
TRX-10250,2025-05-27,North America,Accessories,2,49.46,98.92,40.08,58.84
TRX-10251,2025-05-28,Latin America,Accessories,4,48.82,195.27,83.82,111.46
TRX-10252,2026-12-12,Europe,Laptop,4,1254.56,5018.23,3091.99,1926.24
TRX-10253,2026-05-04,Latin America,Monitor,4,303.11,1212.43,808.05,404.38
TRX-10254,2026-10-02,Europe,Accessories,7,52.17,365.19,139.88,225.31
TRX-10255,2026-07-05,Europe,Smartphone,1,776.27,776.27,484.72,291.55
TRX-10256,2025-12-04,North America,Smartphone,13,771.75,10032.77,6662.49,3370.28
TRX-10257,2026-10-03,Asia Pacific,Monitor,8,310.67,2485.4,1564.08,921.32
TRX-10258,2026-04-18,North America,Laptop,12,1221.71,14660.52,9486.44,5174.08
TRX-10259,2025-05-31,Latin America,Accessories,13,48.43,629.63,256.75,372.88
TRX-10260,2026-02-19,Europe,Laptop,10,1172.32,11723.23,7795.36,3927.87
TRX-10261,2025-10-25,Latin America,Smartphone,9,824.05,7416.48,4468.82,2947.66
TRX-10262,2026-09-03,Europe,Accessories,10,49.77,497.69,199.47,298.23
TRX-10263,2025-09-20,Latin America,Laptop,13,1220.46,15866.04,10653.99,5212.05
TRX-10264,2025-05-24,Europe,Tablet,14,392.73,5498.28,3592.77,1905.5
TRX-10265,2025-12-12,North America,Monitor,6,296.44,1778.62,1159.03,619.59
TRX-10266,2026-09-16,Europe,Monitor,4,314.72,1258.89,807.42,451.46
TRX-10267,2026-07-26,Asia Pacific,Tablet,6,389.9,2339.43,1559.43,780.0
TRX-10268,2025-01-02,North America,Smartphone,10,800.52,8005.17,4804.39,3200.77
TRX-10269,2025-10-31,Asia Pacific,Accessories,7,51.72,362.05,139.62,222.43
TRX-10270,2025-09-11,Latin America,Monitor,6,292.18,1753.06,1230.04,523.02
TRX-10271,2026-10-14,Latin America,Tablet,11,396.61,4362.69,2780.66,1582.03
TRX-10272,2026-03-29,Europe,Tablet,1,404.6,404.6,240.01,164.59
TRX-10273,2025-02-06,Europe,Smartphone,5,798.5,3992.48,2474.15,1518.32
TRX-10274,2025-06-09,Latin America,Smartphone,8,796.76,6374.08,4002.9,2371.19
TRX-10275,2025-01-09,North America,Laptop,8,1183.5,9468.01,6717.34,2750.67
TRX-10276,2025-08-21,Asia Pacific,Monitor,12,302.6,3631.19,2322.87,1308.33
TRX-10277,2025-04-09,Latin America,Laptop,10,1214.92,12149.25,8385.94,3763.31
TRX-10278,2026-10-21,North America,Tablet,9,406.13,3655.18,2222.13,1433.05
TRX-10279,2025-07-27,Asia Pacific,Accessories,4,47.85,191.41,77.6,113.8
TRX-10280,2025-05-11,Europe,Accessories,10,50.66,506.55,198.28,308.27
TRX-10281,2026-02-08,North America,Smartphone,6,836.26,5017.55,3034.2,1983.36
TRX-10282,2025-06-01,North America,Accessories,7,50.2,351.43,135.99,215.45
TRX-10283,2025-02-23,Latin America,Accessories,5,51.08,255.38,97.91,157.47
TRX-10284,2025-04-30,Asia Pacific,Accessories,11,50.28,553.12,227.8,325.32
TRX-10285,2026-11-04,Latin America,Tablet,8,414.19,3313.52,2099.8,1213.72
TRX-10286,2026-09-20,Europe,Accessories,3,52.15,156.44,58.91,97.53
TRX-10287,2026-08-10,Europe,Accessories,8,48.42,387.37,154.38,232.99
TRX-10288,2026-09-17,Asia Pacific,Accessories,14,49.68,695.58,288.21,407.37
TRX-10289,2026-02-24,Asia Pacific,Laptop,5,1187.09,5935.43,4040.18,1895.25
TRX-10290,2026-02-26,Asia Pacific,Tablet,1,396.21,396.21,240.01,156.2
TRX-10291,2025-04-14,Latin America,Smartphone,13,770.04,10010.55,6790.4,3220.14
TRX-10292,2025-09-11,Asia Pacific,Laptop,6,1237.63,7425.8,4597.46,2828.34
TRX-10293,2025-08-15,Asia Pacific,Monitor,2,286.07,572.15,405.01,167.13
TRX-10294,2025-04-22,Latin America,Tablet,7,401.13,2807.9,1736.69,1071.21
TRX-10295,2026-05-25,Europe,Tablet,9,406.48,3658.28,2262.74,1395.54
TRX-10296,2026-04-18,Europe,Monitor,3,291.22,873.67,582.79,290.88
TRX-10297,2025-04-09,North America,Monitor,14,312.18,4370.46,2852.67,1517.79
TRX-10298,2025-06-02,Europe,Monitor,10,310.16,3101.56,2091.94,1009.62
TRX-10299,2025-12-04,Asia Pacific,Smartphone,14,797.69,11167.61,6970.9,4196.72
TRX-10300,2026-12-07,Europe,Accessories,4,49.56,198.22,80.18,118.04
TRX-10301,2025-06-12,Latin America,Tablet,4,389.46,1557.85,973.98,583.87
TRX-10302,2026-12-21,Europe,Accessories,4,51.15,204.6,83.13,121.46
TRX-10303,2026-11-12,Europe,Accessories,3,48.16,144.48,62.83,81.65
TRX-10304,2025-06-10,North America,Monitor,5,305.41,1527.04,1028.63,498.41
TRX-10305,2026-08-03,North America,Smartphone,9,827.4,7446.57,4519.25,2927.32
TRX-10306,2026-02-02,Asia Pacific,Laptop,11,1167.42,12841.58,9201.98,3639.6
TRX-10307,2025-10-04,Latin America,Smartphone,8,829.31,6634.51,3861.54,2772.97
TRX-10308,2026-05-19,Asia Pacific,Accessories,10,47.67,476.67,199.57,277.1
TRX-10309,2026-01-27,Latin America,Smartphone,2,833.02,1666.05,1003.76,662.29
TRX-10310,2025-05-15,Latin America,Monitor,12,288.55,3462.61,2398.06,1064.55
TRX-10311,2025-07-14,North America,Laptop,9,1217.49,10957.42,7417.74,3539.68
TRX-10312,2026-02-05,Europe,Monitor,12,292.5,3510.03,2440.9,1069.13
TRX-10313,2026-10-02,Europe,Laptop,10,1240.39,12403.86,7701.33,4702.54
TRX-10314,2025-02-02,North America,Accessories,2,50.06,100.12,39.39,60.74
